flip_idx,confirmed,bars_to_confirm
82200,True,1.0
82230,True,14.0
82289,False,
82350,True,7.0
82395,False,
82425,True,15.0
82497,True,4.0
82522,False,
82544,True,4.0
82581,True,2.0
82610,True,2.0
82629,True,3.0
82631,True,1.0
82642,True,1.0
82651,True,1.0
82703,True,10.0
82719,True,5.0
82725,True,11.0
82768,True,13.0
82774,True,7.0
82776,True,5.0
82798,False,
82855,True,8.0
82878,True,7.0
82900,False,
82933,True,15.0
82963,True,1.0
83098,True,13.0
83252,True,17.0
83320,True,9.0
83342,True,12.0
83441,False,
83630,False,
83689,True,11.0
83768,False,
83850,True,1.0
83903,False,
83950,True,16.0
83999,True,7.0
84040,False,
84060,True,11.0
84076,True,15.0
84122,True,13.0
84139,True,16.0
84200,True,20.0
84257,False,
84294,True,8.0
84314,True,6.0
84385,False,
84523,True,16.0
84538,True,1.0
84675,True,11.0
84727,False,
84754,True,2.0
84828,True,1.0
84938,False,
84951,False,
84971,False,
85111,True,8.0
85121,True,3.0
85127,True,10.0
85193,False,
85257,True,14.0
85276,True,11.0
85379,False,
85425,True,1.0
85502,True,10.0
85761,True,1.0
85800,False,
85839,True,16.0
85858,False,
85867,True,15.0
85947,False,
86002,True,1.0
86083,False,
86148,True,3.0
86171,True,2.0
86211,True,1.0
86243,True,1.0
86300,False,
86306,False,
86309,True,20.0
86386,True,11.0
86542,False,
86623,False,
86656,True,9.0
86729,True,10.0
86741,True,1.0
86832,False,
86857,False,
86919,True,1.0
86962,True,2.0
86983,True,18.0
87001,True,1.0
87238,False,
87309,True,7.0
87327,False,
87428,False,
87476,False,
87613,False,
87712,True,11.0
87745,True,13.0
87787,False,
87886,False,
87945,True,14.0
87952,True,7.0
87988,True,20.0
88088,True,2.0
88130,True,10.0
88161,True,3.0
88240,True,4.0
88275,True,1.0
88321,False,
88362,True,16.0
88414,False,
88433,True,3.0
88500,True,8.0
88540,False,
88558,False,
88629,True,10.0
88653,False,
88780,True,9.0
88825,True,17.0
88893,False,
88917,True,7.0
88953,False,
89132,False,
89219,False,
89253,True,1.0
89302,False,
89405,True,1.0
89423,True,5.0
89547,True,3.0
89585,True,2.0
89732,True,1.0
89776,True,9.0
89835,True,4.0
89920,True,5.0
89994,True,1.0
90048,False,
90120,True,7.0
90189,False,
90264,False,
90454,False,
90501,True,19.0
90562,True,18.0
90603,False,
90683,False,
90690,False,
90699,False,
90738,True,3.0
90859,True,15.0
90908,False,
90947,True,16.0
90979,True,6.0
90991,True,16.0
91179,False,
91261,False,
91348,True,3.0
91490,True,10.0
91575,True,3.0
91735,False,
91798,True,17.0
91809,True,6.0
91855,True,14.0
91883,True,13.0
92040,True,10.0
92129,True,18.0
92157,False,
92304,True,15.0
92364,False,
