rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n,frequency,mean_ret,hit_rate,t_stat,p_val_raw,p_val_bonf
136,False,False,False,True,False,False,False,True,7,0.00012052341597796144,0.0015907414509635748,0.5714285714285714,,,
137,True,False,False,True,False,False,False,True,98,0.00168732782369146,-0.001364986579114865,0.3163265306122449,-2.370980417037791,0.017740971036827015,1.0
138,False,True,False,True,False,False,False,True,311,0.005354683195592286,-0.0003706793741120974,0.41479099678456594,-1.1041759511739728,0.26951681959557827,1.0
139,True,True,False,True,False,False,False,True,235,0.004046143250688705,-0.0011276742886663171,0.3872340425531915,-1.6467182578592159,0.09961596963746372,1.0
140,False,False,True,True,False,False,False,True,133,0.002289944903581267,0.0022536271885926374,0.6691729323308271,2.1703761419896668,0.02997836266765733,1.0
141,True,False,True,True,False,False,False,True,411,0.007076446280991735,5.7965913938038705e-05,0.48418491484184917,0.20761214072395498,0.8355318239889296,1.0
142,False,True,True,True,False,False,False,True,78,0.0013429752066115702,0.0010421587948561135,0.6666666666666666,1.5904622703741,0.1117306436956748,1.0
143,True,True,True,True,False,False,False,True,26,0.00044765840220385673,0.0003595269399019073,0.6923076923076923,1.1517813969526098,0.24941091420574224,1.0
144,False,False,False,False,True,False,False,True,273,0.004700413223140496,-0.0007890470554473268,0.5347985347985348,-0.8251933943780865,0.40926180306259385,1.0
145,True,False,False,False,True,False,False,True,142,0.0024449035812672175,7.061008447740229e-05,0.4859154929577465,0.134085527603108,0.8933349435957041,1.0
146,False,True,False,False,True,False,False,True,63,0.0010847107438016529,0.0008292200935445768,0.6825396825396826,2.3165732958196887,0.020526987448688014,1.0
147,True,True,False,False,True,False,False,True,131,0.002255509641873278,0.00014156549723022516,0.5038167938931297,0.2560559177367597,0.797907660005392,1.0
148,False,False,True,False,True,False,False,True,139,0.0023932506887052343,0.0003865410096516476,0.5971223021582733,0.5705619464441011,0.5682966197436405,1.0
149,True,False,True,False,True,False,False,True,90,0.0015495867768595042,0.0005655253496036621,0.5444444444444444,1.1387667683525022,0.25480044584278294,1.0
150,False,True,True,False,True,False,False,True,368,0.006336088154269973,0.0007708137656487648,0.6114130434782609,1.574217985094229,0.1154370628129397,1.0
151,True,True,True,False,True,False,False,True,324,0.005578512396694215,0.001435827060551462,0.6820987654320988,3.382505690741962,0.000718277897003327,0.1838791416328517
152,False,False,False,True,True,False,False,True,318,0.005475206611570248,-0.00013084098438476447,0.550314465408805,-0.2291951724027716,0.8187172245913159,1.0
153,True,False,False,True,True,False,False,True,126,0.0021694214876033058,-0.0002520781622442801,0.5,-0.5009652822339842,0.6163955567427657,1.0
154,False,True,False,True,True,False,False,True,20,0.0003443526170798898,-0.0010034746772234592,0.5,-1.3099133558086535,0.19022514842260463,1.0
155,True,True,False,True,True,False,False,True,40,0.0006887052341597796,-0.0019565051955329925,0.3,-1.759984253647671,0.07841047644886952,1.0
156,False,False,True,True,True,False,False,True,109,0.0018767217630853994,0.00019275033780299296,0.5137614678899083,0.333735543128173,0.738579126259733,1.0
157,True,False,True,True,True,False,False,True,29,0.0004993112947658402,0.0019900410621947607,0.6551724137931034,1.2337309800666256,0.21730316577623288,1.0
158,False,True,True,True,True,False,False,True,228,0.003925619834710744,0.0001508541621799702,0.543859649122807,0.47663578624647257,0.6336214958681066,1.0
159,True,True,True,True,True,False,False,True,165,0.002840909090909091,0.00016595858076072744,0.5636363636363636,0.4567564746376877,0.6478460936178764,1.0
160,False,False,False,False,False,True,False,True,13,0.00022382920110192836,0.0006735734629666692,0.6153846153846154,,,
161,True,False,False,False,False,True,False,True,41,0.0007059228650137741,-0.0006910554974080213,0.34146341463414637,-0.6290483813714323,0.5293173824785323,1.0
162,False,True,False,False,False,True,False,True,58,0.0009986225895316804,-0.00013641213672261745,0.4827586206896552,-0.15845288270381405,0.8740999456928753,1.0
