bar_close,expansion_direction,lag_bars
2024-01-24 12:15:00+05:30,-1,1
2024-02-01 13:15:00+05:30,-1,10
2024-02-01 14:15:00+05:30,-1,1
2024-02-01 15:15:00+05:30,1,1
2024-03-15 11:15:00+05:30,-1,1
2024-03-15 12:15:00+05:30,-1,1
2024-03-15 13:15:00+05:30,-1,1
2024-03-15 14:15:00+05:30,-1,1
2024-03-15 15:15:00+05:30,-1,1
2024-03-18 10:15:00+05:30,-1,1
2024-03-18 11:15:00+05:30,-1,1
2024-03-18 12:15:00+05:30,-1,1
2024-03-18 13:15:00+05:30,-1,1
2024-03-18 14:15:00+05:30,-1,1
2024-03-18 15:15:00+05:30,1,1
2024-04-01 12:15:00+05:30,-1,10
2024-04-19 15:15:00+05:30,-1,10
2024-04-26 10:15:00+05:30,-1,10
2024-04-26 11:15:00+05:30,1,1
2024-04-26 12:15:00+05:30,1,1
2024-04-26 13:15:00+05:30,1,1
2024-05-09 12:15:00+05:30,-1,10
2024-06-06 11:15:00+05:30,-1,8
2024-06-07 11:15:00+05:30,-1,6
2024-08-06 12:15:00+05:30,-1,1
2024-08-06 13:15:00+05:30,-1,1
2024-08-06 14:15:00+05:30,-1,1
2024-08-06 15:15:00+05:30,-1,1
2024-08-07 10:15:00+05:30,-1,1
2024-08-21 12:15:00+05:30,1,10
2024-10-07 10:15:00+05:30,-1,1
2024-10-07 11:15:00+05:30,-1,1
2024-10-07 12:15:00+05:30,-1,1
2024-11-27 14:15:00+05:30,-1,1
2024-11-27 15:15:00+05:30,-1,1
2024-11-28 10:15:00+05:30,-1,1
2024-11-28 11:15:00+05:30,-1,1
2024-11-28 12:15:00+05:30,-1,1
2024-11-28 13:15:00+05:30,-1,1
2024-11-28 14:15:00+05:30,-1,1
2024-11-28 15:15:00+05:30,-1,1
2024-11-29 12:15:00+05:30,1,3
2024-11-29 13:15:00+05:30,1,1
2024-11-29 14:15:00+05:30,1,1
2024-11-29 15:15:00+05:30,-1,1
2024-12-02 10:15:00+05:30,-1,1
2024-12-02 11:15:00+05:30,-1,1
2024-12-02 12:15:00+05:30,-1,1
2024-12-02 13:15:00+05:30,1,1
2024-12-02 14:15:00+05:30,1,1
2024-12-20 12:15:00+05:30,-1,8
2025-02-01 13:15:00+05:30,-1,1
2025-02-01 14:15:00+05:30,-1,1
2025-02-01 15:15:00+05:30,-1,1
2025-02-03 10:15:00+05:30,-1,1
2025-02-03 11:15:00+05:30,-1,1
2025-02-03 12:15:00+05:30,-1,1
2025-02-03 13:15:00+05:30,-1,1
2025-02-03 14:15:00+05:30,-1,1
2025-02-03 15:15:00+05:30,-1,1
2025-02-04 10:15:00+05:30,-1,1
2025-02-04 11:15:00+05:30,-1,1
2025-02-04 12:15:00+05:30,-1,1
2025-02-04 13:15:00+05:30,-1,1
2025-02-04 14:15:00+05:30,-1,1
2025-02-13 10:15:00+05:30,-1,9
2025-03-18 15:15:00+05:30,-1,1
2025-03-19 10:15:00+05:30,-1,1
2025-03-19 11:15:00+05:30,-1,1
2025-03-19 12:15:00+05:30,-1,1
2025-03-19 13:15:00+05:30,-1,1
2025-03-19 14:15:00+05:30,-1,1
2025-03-19 15:15:00+05:30,-1,1
2025-04-08 11:15:00+05:30,-1,6
2025-04-17 14:15:00+05:30,1,9
2025-06-03 15:15:00+05:30,-1,1
2025-06-04 10:15:00+05:30,-1,1
2025-06-04 11:15:00+05:30,-1,1
2025-06-04 12:15:00+05:30,-1,1
2025-06-04 13:15:00+05:30,-1,1
2025-06-04 14:15:00+05:30,-1,1
2025-06-04 15:15:00+05:30,-1,1
2025-06-05 10:15:00+05:30,-1,1
2025-06-05 11:15:00+05:30,-1,1
2025-06-05 14:15:00+05:30,1,3
2025-06-05 15:15:00+05:30,1,1
2025-06-06 10:15:00+05:30,1,1
2025-06-06 11:15:00+05:30,1,1
2025-06-06 12:15:00+05:30,1,1
2025-06-06 13:15:00+05:30,1,1
2025-06-23 10:15:00+05:30,1,10
2025-07-14 12:15:00+05:30,-1,1
2025-07-14 13:15:00+05:30,-1,1
2025-07-14 14:15:00+05:30,-1,1
2025-07-14 15:15:00+05:30,-1,1
2025-07-15 10:15:00+05:30,-1,1
