bar_close,direction,followed_through,lag_bars
2022-02-07 09:30:00+05:30,1,False,
2022-02-08 13:00:00+05:30,-1,False,
2022-02-10 11:00:00+05:30,1,False,
2022-02-11 09:45:00+05:30,-1,False,
2022-02-14 10:15:00+05:30,1,False,
2022-02-15 11:45:00+05:30,-1,False,
2022-02-16 14:00:00+05:30,1,False,
2022-02-17 10:00:00+05:30,-1,False,
2022-02-17 12:00:00+05:30,1,False,
2022-02-17 14:45:00+05:30,-1,False,
2022-02-18 13:15:00+05:30,1,False,
2022-02-18 14:30:00+05:30,-1,False,
2022-02-21 11:45:00+05:30,1,True,4.0
2022-02-21 12:30:00+05:30,-1,False,
2022-02-21 15:00:00+05:30,1,True,1.0
2022-02-22 14:45:00+05:30,-1,False,
2022-02-24 09:30:00+05:30,1,False,
2022-02-25 10:30:00+05:30,-1,False,
2022-02-28 10:15:00+05:30,1,False,
2022-02-28 11:30:00+05:30,-1,False,
2022-03-02 11:00:00+05:30,1,False,
2022-03-02 15:15:00+05:30,-1,False,
2022-03-04 09:45:00+05:30,1,False,
2022-03-04 13:45:00+05:30,-1,False,
2022-03-04 15:30:00+05:30,1,False,
2022-03-08 10:00:00+05:30,-1,False,
2022-03-08 12:15:00+05:30,1,False,
2022-03-08 13:45:00+05:30,-1,False,
2022-03-10 10:15:00+05:30,1,False,
2022-03-10 14:45:00+05:30,-1,False,
2022-03-11 10:15:00+05:30,1,False,
2022-03-11 10:30:00+05:30,-1,False,
2022-03-14 11:30:00+05:30,1,False,
2022-03-15 11:15:00+05:30,-1,False,
2022-03-16 10:30:00+05:30,1,False,
2022-03-16 14:15:00+05:30,-1,False,
2022-03-16 15:15:00+05:30,1,False,
2022-03-21 10:00:00+05:30,-1,False,
2022-03-22 13:45:00+05:30,1,False,
2022-03-23 12:45:00+05:30,-1,False,
2022-03-25 15:30:00+05:30,1,False,
2022-03-28 13:15:00+05:30,-1,False,
2022-03-29 11:45:00+05:30,1,True,2.0
2022-03-31 11:45:00+05:30,-1,False,
2022-04-01 11:30:00+05:30,1,False,
2022-04-01 11:45:00+05:30,-1,False,
2022-04-01 14:00:00+05:30,1,False,
2022-04-05 10:45:00+05:30,-1,False,
2022-04-07 13:30:00+05:30,1,False,
2022-04-08 12:45:00+05:30,-1,False,
2022-04-09 13:15:00+05:30,1,False,
2022-04-09 14:00:00+05:30,-1,False,
2022-04-09 14:45:00+05:30,1,False,
2022-04-11 10:30:00+05:30,-1,True,4.0
2022-04-12 09:30:00+05:30,1,False,
2022-04-12 15:30:00+05:30,-1,False,
2022-04-13 12:30:00+05:30,1,False,
2022-04-13 14:15:00+05:30,-1,False,
2022-04-18 09:30:00+05:30,1,False,
2022-04-18 15:30:00+05:30,-1,False,
2022-04-19 15:30:00+05:30,1,True,3.0
2022-04-20 11:00:00+05:30,-1,False,
2022-04-22 10:00:00+05:30,1,False,
2022-04-22 10:30:00+05:30,-1,False,
2022-04-22 12:15:00+05:30,1,True,3.0
2022-04-22 14:00:00+05:30,-1,False,
2022-04-25 10:15:00+05:30,1,False,
2022-04-26 09:45:00+05:30,-1,False,
2022-04-27 10:45:00+05:30,1,True,1.0
2022-04-27 14:45:00+05:30,-1,False,
2022-04-28 15:15:00+05:30,1,False,
2022-04-29 15:00:00+05:30,-1,False,
2022-04-30 12:30:00+05:30,1,False,
2022-05-02 10:00:00+05:30,-1,False,
2022-05-02 13:45:00+05:30,1,True,1.0
2022-05-05 10:45:00+05:30,-1,False,
2022-05-05 14:15:00+05:30,1,False,
2022-05-06 15:00:00+05:30,-1,False,
2022-05-09 09:30:00+05:30,1,False,
2022-05-09 12:15:00+05:30,-1,False,
2022-05-11 10:15:00+05:30,1,False,
2022-05-11 14:45:00+05:30,-1,False,
2022-05-12 10:00:00+05:30,1,False,
2022-05-13 09:30:00+05:30,-1,False,
2022-05-13 15:30:00+05:30,1,False,
2022-05-16 10:30:00+05:30,-1,False,
2022-05-16 12:45:00+05:30,1,False,
2022-05-16 14:00:00+05:30,-1,True,3.0
2022-05-17 15:30:00+05:30,1,False,
2022-05-18 14:00:00+05:30,-1,False,
2022-05-19 13:45:00+05:30,1,True,2.0
2022-05-20 10:00:00+05:30,-1,True,2.0
2022-05-20 14:45:00+05:30,1,False,
2022-05-23 14:45:00+05:30,-1,False,
2022-05-25 13:15:00+05:30,1,False,
2022-05-26 13:30:00+05:30,-1,True,1.0
2022-05-27 12:15:00+05:30,1,False,
2022-05-31 09:30:00+05:30,-1,False,
2022-06-02 13:45:00+05:30,1,False,
2022-06-03 14:00:00+05:30,-1,False,
2022-06-06 15:00:00+05:30,1,False,
2022-06-06 15:30:00+05:30,-1,False,
2022-06-07 11:15:00+05:30,1,False,
2022-06-08 11:00:00+05:30,-1,False,
2022-06-08 14:15:00+05:30,1,False,
2022-06-09 11:30:00+05:30,-1,False,
2022-06-10 10:15:00+05:30,1,False,
2022-06-14 10:30:00+05:30,-1,False,
2022-06-16 12:00:00+05:30,1,False,
2022-06-17 14:00:00+05:30,-1,False,
2022-06-22 09:30:00+05:30,1,False,
2022-06-22 10:15:00+05:30,-1,False,
2022-06-22 14:45:00+05:30,1,False,
2022-06-23 10:00:00+05:30,-1,False,
2022-06-23 12:45:00+05:30,1,False,
2022-06-23 13:00:00+05:30,-1,False,
2022-06-23 15:00:00+05:30,1,False,
2022-06-23 15:15:00+05:30,-1,False,
2022-06-24 09:30:00+05:30,1,False,
2022-06-27 15:15:00+05:30,-1,False,
2022-06-29 14:15:00+05:30,1,False,
2022-06-29 15:30:00+05:30,-1,False,
2022-06-30 11:00:00+05:30,1,False,
2022-06-30 11:15:00+05:30,-1,False,
2022-06-30 15:00:00+05:30,1,False,
2022-06-30 15:15:00+05:30,-1,False,
2022-07-01 12:15:00+05:30,1,True,2.0
2022-07-01 15:15:00+05:30,-1,True,3.0
2022-07-05 10:15:00+05:30,1,False,
2022-07-05 14:30:00+05:30,-1,False,
2022-07-06 13:15:00+05:30,1,False,
2022-07-08 13:00:00+05:30,-1,False,
2022-07-11 15:00:00+05:30,1,False,
2022-07-12 09:30:00+05:30,-1,False,
2022-07-13 14:45:00+05:30,1,False,
2022-07-14 11:00:00+05:30,-1,False,
2022-07-14 11:30:00+05:30,1,False,
2022-07-15 10:00:00+05:30,-1,False,
2022-07-18 12:15:00+05:30,1,False,
2022-07-20 15:00:00+05:30,-1,False,
2022-07-22 10:00:00+05:30,1,False,
2022-07-22 11:15:00+05:30,-1,False,
2022-07-22 12:45:00+05:30,1,False,
2022-07-25 09:30:00+05:30,-1,False,
2022-07-27 11:00:00+05:30,1,False,
2022-07-27 11:45:00+05:30,-1,False,
2022-07-27 15:15:00+05:30,1,True,2.0
2022-07-29 15:00:00+05:30,-1,False,
2022-07-29 15:30:00+05:30,1,False,
2022-08-01 14:30:00+05:30,-1,False,
2022-08-04 09:30:00+05:30,1,False,
2022-08-04 11:45:00+05:30,-1,False,
2022-08-05 10:00:00+05:30,1,False,
2022-08-05 13:15:00+05:30,-1,False,
2022-08-08 11:00:00+05:30,1,False,
2022-08-10 09:45:00+05:30,-1,False,
